#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-26T18:52:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b32848e92e8	
#INFO	-out.max=1000	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/ApJS/192/5/hetdex
#-nav=cat:J/ApJS/192/5&tab:{J/ApJS/192/5/hetdex}&key:source=J/ApJS/192/5/hetdex&HTTPPRM:&&-ref=VIZ5b32848e92e8&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HPS&-out=lambda&-out=FWHM&-out=S/N&-out=Flux&-out=Spat&-out=mag&-out=n_mag&-out=Prob&-out=EW&-out=EWint&-out=Trans&-out=z&-out=Lya&-out=X-ray&-out=RAJ2000&-out=DEJ2000&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/192/5/hetdex
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/192/5/hetdex
#-out=HPS
#-out=lambda
#-out=FWHM
#-out=S/N
#-out=Flux
#-out=Spat
#-out=mag
#-out=n_mag
#-out=Prob
#-out=EW
#-out=EWint
#-out=Trans
#-out=z
#-out=Lya
#-out=X-ray
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21920005
#Name: J/ApJS/192/5
#Title: Emission-line galaxies from HETDEX pilot survey (Adams+, 2011)
#Table	J_ApJS_192_5_hetdex:
#Name: J/ApJS/192/5/hetdex
#Title: HETDEX pilot survey emission line catalog  and classification
#Column	HPS	(I3)	HETDEX Pilot Survey index number	[ucd=meta.id;meta.main]
#Column	lambda	(F7.2)	Observed emission wavelength (1)	[ucd=em.wl]
#Column	FWHM	(I4)	Emission line intrinsic FWHM (2)	[ucd=spect.line.width;spect.line]
#Column	S/N	(F5.1)	Emission line Signal-to-Noise	[ucd=stat.snr;spect.line]
#Column	Flux	(F6.1)	Emission line flux (in 10^-17^erg/cm^2^/s) (3)	[ucd=phot.flux;spect.line]
#Column	Spat	(F4.1)	Emission line spatial FWHM (3)	[ucd=phys.angSize]
#Column	mag	(F5.2)	? Counterpart R or i' band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	n_mag	(A1)	Simbad column added by the CDS	[ucd=instr.bandpass]
#Column	Prob	(F5.2)	Probability of counterpart association	[ucd=meta.id.assoc;stat.probability]
#Column	EW	(F6.1)	Rest-frame equivalent width (2)	[ucd=spect.line.eqWidth]
#Column	EWint	(F6.1)	Interpolated rest-frame equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Trans	(a11)	Emission line transition (4)	[ucd=meta.id;phys.atmol.transition]
#Column	z	(F7.4)	Estimated redshift	[ucd=src.redshift]
#Column	Lya	(F5.2)	Probability emission line is Ly{alpha} (5)	[ucd=stat.fit.goodness]
#Column	X-ray	(A16)	X-ray counterpart identification (JHHMMSSs+DDMMSS)	[ucd=meta.id.cross]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
HPS	lambda	FWHM	S/N	Flux	Spat	mag	n_mag	Prob	EW	EWint	Trans	z	Lya	X-ray	RAJ2000	DEJ2000
122	4495.46	 408	  6.9	  29.9	 5.4	22.19	i	 0.98	  34.8	  90.2	[OII]      	 0.2062	 0.02	J0306535+000311 	03 06 53.28	+00 03 13.9
123	5422.37	 302	 32.5	  80.4	 4.7	20.73	i	 0.99	  29.4	  49.8	[OII]      	 0.4549	 0.01	                	03 06 53.53	-00 02 09.5
124	5766.95	 401	  5.2	  12.7	 3.2	24.63	i	 0.59	  58.2	  87.8	Ly{alpha}  	 3.7438	 1.00	                	03 06 53.64	-00 02 32.8
125	4143.68	 227	 20.5	 223.9	 7.1	17.64	i	 1.00	   3.6	  14.2	[OII]      	 0.1118	 0.00	                	03 06 55.10	-00 00 50.3
126	4653.11	 815	 14.2	 167.1	 7.5	24.31	i	 0.77	 461.7	5461.0	Ly{alpha}  	 2.8276	 1.00	                	03 06 55.26	+00 00 33.8
127	4298.41	 380	  5.4	  22.1	 5.1	24.09	i	 0.95	  45.7	  87.2	Ly{alpha}  	 2.5358	 1.00	                	03 06 55.52	+00 03 33.6
128	5025.72	 537	  8.1	  31.7	 4.3	20.00	i	 1.00	   5.5	  15.7	[OII]      	 0.3485	 0.00	                	03 06 55.80	+00 01 04.2
129	4240.25	 234	 12.7	  50.8	 4.7	21.12	i	 0.99	  20.6	  46.0	[OII]      	 0.1377	 0.01	                	03 06 55.81	+00 02 13.5
130	4780.23	 316	 13.0	  55.6	 4.5	20.20	i	 0.98	  10.9	  27.2	[OII]      	 0.2826	 0.02	                	03 06 55.81	+00 00 52.2
131	5640.06	 332	  7.5	  31.5	 6.3	21.12	i	 1.00	  22.6	  29.4	[OIII]4959 	 0.1373	 0.00	                	03 06 55.82	+00 02 12.8
132	5324.05	 176	  6.9	  50.1	 5.7	21.68	i	 0.50	  42.9	  77.7	[OII]      	 0.4285	 0.01	                	03 06 55.83	-00 00 23.2
133	4608.89	 548	  5.7	  20.6	 3.2	19.57	i	 1.00	   2.2	  18.9	[OII]      	 0.2366	 0.00	                	03 06 55.84	+00 01 58.6
134	5694.38	 210	 15.8	  52.7	 4.9	21.12	i	 1.00	  38.6	  49.8	[OIII]5007 	 0.1373	 0.00	                	03 06 55.87	+00 02 12.9
135	4815.23	 268	  5.6	  17.0	 4.8	22.15	i	 0.99	  20.3	  43.6	[OII]      	 0.2920	 0.01	                	03 06 56.42	+00 03 04.9
136	4728.95	 363	 13.6	  30.2	 4.3	21.57	i	 0.97	  20.7	  39.7	[OII]      	 0.2688	 0.03	                	03 06 57.30	-00 03 02.5
137	4659.83	 213	 11.2	  34.5	 6.0	21.00	i	 0.98	  13.8	  33.1	[OII]      	 0.2503	 0.02	                	03 06 57.43	+00 00 03.1
138	4109.87	 242	 28.1	  94.2	 4.7	19.60	i	 1.00	   9.2	  26.4	[OII]      	 0.1027	 0.00	                	03 06 57.63	-00 01 39.1
139	5520.42	  78	 23.3	  51.4	 4.5	19.60	i	 1.00	   9.0	  13.5	[OIII]5007 	 0.1025	 0.00	                	03 06 57.63	-00 01 39.6
140	5359.66	  80	 12.4	  33.6	 5.5	19.60	i	 0.99	   5.6	   8.7	H{beta}    	 0.1026	 0.01	                	03 06 57.64	-00 01 40.3
141	5467.60	 138	  8.2	  15.4	 3.6	19.60	i	 1.00	   2.7	   4.0	[OIII]4959 	 0.1026	 0.00	                	03 06 57.67	-00 01 39.5
142	4352.06	 612	  5.9	  20.6	 3.8	23.34	i	 0.62	  21.7	  49.6	Ly{alpha}  	 2.5800	 0.70	                	03 06 58.84	-00 02 34.5
143	4608.30	 346	 30.2	  67.8	 4.1	21.05	R	 0.99	  28.1	  46.1	[OII]      	 0.2365	 0.01	                	10 00 05.63	+02 16 08.9
144	4534.15	 324	  5.9	   5.5	 2.7	26.50	R	 0.52	 109.7	 446.7	Ly{alpha}  	 2.7298	 0.85	                	10 00 05.83	+02 19 47.2
145	3859.84	1164	  8.6	  84.0	 7.5	24.08	R	 0.51	 154.6	2380.9	Ly{alpha}  	 2.1751	 1.00	                	10 00 06.26	+02 13 10.9
146	4876.41	 301	 10.2	  17.7	 4.6	21.87	R	 0.67	  16.5	  30.0	[OII]      	 0.3084	 0.12	                	10 00 06.32	+02 18 03.7
147	4534.91	 253	 30.7	  59.3	 5.3	20.24	R	 1.00	  11.5	  24.3	[OII]      	 0.2168	 0.00	                	10 00 06.89	+02 13 27.7
148	5370.35	 289	  5.3	   8.6	 4.5	24.77	R	 0.43	  41.9	 180.5	Ly{alpha}  	 3.4176	 1.00	J100007.1+021925	10 00 07.00	+02 19 27.8
149	4995.67	 449	  6.3	  24.3	 7.3	22.85	R	 0.88	  57.1	 106.7	[OII]      	 0.3404	 0.12	                	10 00 07.14	+02 17 06.3
150	4742.42	1165	  7.6	  29.1	 4.7	23.79	R	 0.72	  50.6	  91.8	Ly{alpha}  	 2.9011	 1.00	                	10 00 07.15	+02 14 56.8
151	5359.12	 297	 15.7	  25.7	 4.4	21.41	R	 0.98	  17.3	  27.7	[OII]      	 0.4379	 0.02	                	10 00 07.23	+02 18 46.6
152	4723.68	 273	 22.9	  40.7	 6.1	19.83	R	 0.99	   5.6	  14.6	[OII]      	 0.2674	 0.01	                	10 00 07.29	+02 17 22.9
153	4507.81	 997	  6.8	  31.9	 6.5	24.88	R	 0.89	 143.9	 687.2	Ly{alpha}  	 2.7081	 1.00	                	10 00 07.32	+02 12 45.5
154	4707.81	 254	  6.4	  10.6	 4.3	25.98	R	 0.20	 138.0	 280.8	Ly{alpha}  	 2.8726	 0.93	                	10 00 07.59	+02 15 18.4
155	4941.47	 288	  6.9	   8.1	 3.4	22.05	R	 0.97	   9.0	  19.3	[OII]      	 0.3259	 0.03	                	10 00 07.68	+02 17 37.1
156	4778.44	 342	 17.7	  29.0	 5.2	20.67	R	 0.90	   8.8	  22.0	[OII]      	 0.2821	 0.10	                	10 00 08.03	+02 15 42.4
157	4658.96	 324	 25.4	  59.6	 5.0	19.93	R	 0.71	   8.9	  26.1	[OII]      	 0.2501	 0.29	                	10 00 08.35	+02 15 23.0
158	4073.10	 257	 14.3	  45.3	 6.4	20.43	R	 0.99	   9.4	  29.2	[OII]      	 0.0929	 0.01	                	10 00 08.52	+02 15 42.6
159	5471.22	 138	 14.8	  19.0	 5.4	20.43	R	 0.99	   7.1	   8.8	[OIII]5007 	 0.0927	 0.00	                	10 00 08.52	+02 15 42.1
160	4175.32	 663	  6.0	  17.1	 5.2	27.35	R	 0.61	 698.3	1034.3	Ly{alpha}  	 2.4346	 1.00	                	10 00 08.61	+02 17 38.6
161	5168.43	 658	 15.0	  39.1	 5.7	23.40	R	 0.81	  52.0	 101.4	Ly{alpha}  	 3.2515	 1.00	                	10 00 08.73	+02 12 50.0
162	4167.83	1063	  7.3	  76.4	 8.3	24.45	R	 0.20	 214.4	 564.3	Ly{alpha}  	 2.4284	 1.00	J100008.8+021528	10 00 08.73	+02 15 32.0
163	5117.51	 366	 18.8	  38.4	 5.0	20.78	R	 0.95	  13.8	  23.7	[OII]      	 0.3731	 0.05	                	10 00 08.82	+02 14 20.4
164	4196.31	 482	  6.6	  25.4	11.0	24.32	R	 0.31	  63.3	 126.4	Ly{alpha}  	 2.4518	 1.00	                	10 00 08.95	+02 17 23.2
165	4541.90	 231	  6.7	  14.2	 5.5	22.25	R	 0.93	  17.5	  40.4	[OII]      	 0.2186	 0.07	                	10 00 09.25	+02 16 28.2
166	5116.42	 261	 15.6	  25.1	 4.3	21.49	R	 1.00	  17.4	  29.6	[OII]      	 0.3728	 0.00	                	10 00 09.29	+02 15 36.9
167	5008.85	 310	 12.2	  21.4	 4.8	21.37	R	 0.99	  13.0	  27.2	[OII]      	 0.3439	 0.01	                	10 00 09.41	+02 12 24.4
168	5409.27	 480	 16.9	  34.9	 4.5	24.98	R	 0.78	 207.7	 462.3	Ly{alpha}  	 3.4496	 1.00	                	10 00 09.69	+02 14 54.9
169	4704.85	 321	 25.1	  42.2	 4.9	20.75	R	 1.00	  13.6	  27.1	[OII]      	 0.2624	 0.00	                	10 00 09.75	+02 12 40.7
170	4777.21	 384	  7.4	  12.3	 4.1	21.42	R	 0.98	   7.5	  23.2	[OII]      	 0.2818	 0.02	                	10 00 09.94	+02 15 50.0
171	4781.40	 307	 16.2	  23.4	 3.9	22.59	R	 0.91	  41.6	  88.2	[OII]      	 0.2829	 0.08	                	10 00 10.00	+02 16 59.7
172	4962.23	 260	  6.1	   5.0	 2.3	22.59	R	 0.90	   9.6	  16.9	[NeIII]3869	 0.2826	 0.09	                	10 00 10.01	+02 16 59.8
173	5141.95	 242	 15.3	  20.9	 4.5	20.88	R	 0.88	   8.3	  14.8	[OII]      	 0.3796	 0.01	                	10 00 10.35	+02 13 22.5
174	5405.49	 474	  5.0	   3.2	 2.1	26.34	R	 0.45	  67.2	 146.4	Ly{alpha}  	 3.4465	 0.73	                	10 00 11.06	+02 12 26.7
175	4779.62	 400	 18.8	  41.6	 5.5	21.01	R	 0.99	  17.3	  37.7	[OII]      	 0.2824	 0.01	                	10 00 11.27	+02 14 33.2
176	5557.45	 371	 13.9	  29.2	 5.1	22.34	R	 0.91	  48.1	  64.4	[OII]      	 0.4911	 0.09	                	10 00 11.36	+02 17 41.8
177	5146.23	 277	 10.5	  18.3	 4.8	21.99	R	 0.85	  20.2	  32.8	[OII]      	 0.3808	 0.00	                	10 00 11.38	+02 13 48.8
178	5484.87	 283	  5.8	  10.1	 4.8	23.27	R	 0.64	  38.5	  59.7	[OII]      	 0.4717	 0.36	                	10 00 11.39	+02 15 14.1
179	5009.81	 426	  7.2	   7.3	 3.4	22.67	R	 0.86	  14.7	  26.6	[OII]      	 0.3442	 0.08	                	10 00 11.85	+02 13 40.1
180	5139.19	 372	  8.7	   3.7	 1.3	24.63	R	 0.70	  46.5	  54.7	[OII]      	 0.3789	 0.21	                	10 00 12.08	+02 20 02.6
181	4752.15	 300	 18.8	  43.1	 6.0	20.92	R	 0.88	  16.4	  33.5	[OII]      	 0.2751	 0.12	                	10 00 12.11	+02 14 30.9
182	4174.25	 211	  7.4	  25.6	 4.9	25.04	R	 0.60	 124.1	 180.8	Ly{alpha}  	 2.4337	 1.00	                	10 00 12.33	+02 14 16.0
183	3844.49	1094	  8.4	  27.8	 5.2	25.26	R	 0.27	 152.4	 459.5	Ly{alpha}  	 2.1624	 1.00	                	10 00 12.44	+02 17 53.0
184	5112.92	 336	  5.4	   6.1	 5.2	25.80	R	 0.44	  73.2	 108.4	Ly{alpha}  	 3.2058	 0.95	                	10 00 12.57	+02 17 54.6
185	4421.68	 282	  6.7	  16.8	 3.9	21.58	R	 0.99	  10.9	  25.1	[OII]      	 0.1864	 0.01	                	10 00 12.66	+02 13 07.1
186	4421.87	 312	 20.1	  91.4	 5.5	20.52	R	 0.99	  22.4	  54.8	[OII]      	 0.1864	 0.01	                	10 00 12.71	+02 12 30.0
187	5765.58	  74	  6.2	  13.7	 4.5	20.53	R	 1.00	   5.7	   6.5	H{beta}    	 0.1861	 0.00	                	10 00 12.73	+02 12 29.0
188	5134.26	 437	  7.1	  22.8	 4.7	19.89	R	 0.98	   3.6	   8.5	[OII]      	 0.3776	 0.00	                	10 00 13.07	+02 20 22.4
189	4195.93	 509	  5.6	  12.9	 5.1	24.99	R	 0.64	  60.2	  85.3	Ly{alpha}  	 2.4515	 0.90	                	10 00 13.11	+02 18 56.3
190	3980.38	 301	  5.3	  19.2	 5.2	     	R	 0.50	 643.6	 643.6	Ly{alpha}  	 2.2742	 1.00	                	10 00 13.25	+02 16 49.2
191	5505.13	 312	 16.1	  37.2	 3.4	21.61	R	 0.99	  30.8	  42.9	[OII]      	 0.4771	 0.01	                	10 00 13.29	+02 19 59.4
192	4893.46	 406	  9.0	  23.6	 5.4	22.02	R	 0.99	  25.3	  44.1	[OII]      	 0.3130	 0.01	                	10 00 13.57	+02 13 16.6
193	5511.98	 426	  9.4	  17.8	 4.7	21.67	R	 0.99	  15.7	  25.5	[OII]      	 0.4789	 0.01	                	10 00 13.92	+02 14 16.7
194	3997.41	 667	 15.7	  61.0	 4.9	23.98	R	 0.73	 106.0	 213.8	Ly{alpha}  	 2.2882	 1.00	                	10 00 14.16	+02 14 28.3
195	4536.52	  94	 15.3	  35.4	 5.1	20.51	R	 1.00	   8.8	  20.1	[OII]      	 0.2172	 0.00	                	10 00 14.61	+02 17 02.9
196	4441.28	 321	  8.5	  24.0	 6.3	24.44	R	 0.39	  70.9	 139.2	Ly{alpha}  	 2.6534	 1.00	                	10 00 14.69	+02 16 25.5
197	4184.22	 536	  6.9	  17.8	 4.1	25.80	R	 0.33	 174.0	 258.9	Ly{alpha}  	 2.4419	 1.00	                	10 00 14.69	+02 17 47.4
198	4715.87	 364	  9.8	  24.9	 4.9	21.64	R	 0.95	  18.2	  39.5	[OII]      	 0.2653	 0.05	                	10 00 14.93	+02 12 23.4
199	4502.45	 363	 16.8	  35.8	 4.7	21.03	R	 0.98	  14.3	  30.8	[OII]      	 0.2081	 0.02	                	10 00 15.40	+02 14 12.6
200	5820.96	 222	  5.9	  10.8	 4.3	20.51	R	 0.96	   3.4	   4.3	[OII]      	 0.5618	 0.01	                	10 00 15.55	+02 16 17.9
201	5607.11	  76	 10.6	  35.1	 5.3	22.00	R	 1.00	  42.6	  44.4	[OII]      	 0.5045	 0.00	                	10 00 16.14	+02 19 17.1
202	5320.35	 276	 18.3	  30.6	 4.8	21.96	R	 0.92	  33.9	  52.3	[OII]      	 0.4275	 0.08	                	10 00 16.17	+02 18 40.1
203	4420.85	 332	 10.0	  23.9	 5.9	19.17	R	 1.00	   1.7	   7.6	[OII]      	 0.1862	 0.00	                	10 00 16.19	+02 14 00.4
204	5012.40	 239	 21.3	  38.2	 4.9	19.36	R	 1.00	   3.6	   8.0	[OII]      	 0.3449	 0.00	                	10 00 16.23	+02 14 35.4
205	4750.98	 262	  5.2	  22.6	 6.0	26.04	R	 0.69	 312.1	1057.5	Ly{alpha}  	 2.9081	 1.00	                	10 00 16.43	+02 20 30.2
206	4535.17	 242	  9.4	   5.9	 1.7	19.85	R	 0.91	   0.8	   1.9	[OII]      	 0.2168	 0.00	                	10 00 16.66	+02 16 19.5
207	4509.08	 182	  6.3	   9.9	 4.6	26.18	R	 0.57	 147.0	 173.5	Ly{alpha}  	 2.7091	 1.00	                	10 00 16.71	+02 18 21.5
208	4418.58	 351	  7.7	  28.5	 5.6	19.98	R	 1.00	   4.2	  12.4	[OII]      	 0.1856	 0.00	                	10 00 16.74	+02 12 18.7
209	4422.83	 302	 18.8	  66.6	 5.6	20.52	R	 1.00	  16.3	  32.1	[OII]      	 0.1867	 0.00	                	10 00 16.99	+02 12 38.6
210	5455.26	 526	  5.9	  10.5	 3.9	24.90	R	 0.24	  58.3	  70.5	Ly{alpha}  	 3.4874	 0.36	                	10 00 17.09	+02 16 14.1
211	5359.13	 195	  7.0	  11.8	 5.7	22.60	R	 0.99	  23.7	  38.9	[OII]      	 0.4379	 0.01	                	10 00 17.20	+02 17 36.7
212	5513.32	  78	  5.5	   8.2	 2.2	22.59	R	 0.99	  16.9	  26.1	[OII]      	 0.4793	 0.01	                	10 00 17.40	+02 20 42.4
213	5226.89	 200	  7.7	  13.0	 5.0	24.55	R	 0.20	  50.0	  80.6	Ly{alpha}  	 3.2996	 0.91	                	10 00 17.44	+02 16 59.0
214	5221.86	  82	  6.4	   8.2	 6.0	27.09	R	 0.45	 327.9	 454.3	Ly{alpha}  	 3.2955	 0.99	                	10 00 17.46	+02 19 04.2
215	4553.01	 166	  5.1	  22.3	 5.6	18.79	R	 0.97	   1.1	   5.8	[OII]      	 0.2216	 0.03	                	10 00 17.59	+02 19 33.9
216	4768.66	 280	 34.5	  45.8	 4.3	20.94	R	 0.94	  17.7	  35.1	[OII]      	 0.2795	 0.02	                	10 00 17.77	+02 17 59.9
217	5358.95	 282	 17.8	  68.1	 5.5	20.25	R	 1.00	  15.7	  25.5	[OII]      	 0.4379	 0.00	                	10 00 17.86	+02 20 17.3
218	5069.17	 264	 14.9	  31.9	 5.3	20.92	R	 0.99	  12.9	  24.1	[OII]      	 0.3601	 0.01	                	10 00 18.00	+02 16 31.5
219	4185.91	 297	 44.2	 185.5	 7.4	19.02	R	 0.99	  10.8	  33.8	[OII]      	 0.1231	 0.01	                	10 00 18.10	+02 18 18.7
220	5458.79	  78	 14.3	  40.3	 6.3	19.02	R	 1.00	   4.0	   5.4	H{beta}    	 0.1230	 0.00	                	10 00 18.20	+02 18 18.3
221	5623.60	 195	 28.2	  71.0	 7.0	19.02	R	 1.00	   7.5	   9.4	[OIII]5007 	 0.1231	 0.00	                	10 00 18.23	+02 18 15.7
222	4793.40	 983	 22.0	  87.3	 4.7	23.55	R	 0.98	 123.0	 278.1	Ly{alpha}  	 2.9430	 1.00	J100018.2+021551	10 00 18.24	+02 15 51.0
223	4018.61	1102	  5.7	  39.0	 6.4	25.46	R	 0.31	 268.2	1919.9	Ly{alpha}  	 2.3057	 1.00	                	10 00 18.56	+02 14 59.8
224	5598.94	 327	 12.5	  16.0	 4.0	20.84	R	 0.97	   6.7	  10.3	[OII]      	 0.5023	 0.03	                	10 00 18.82	+02 18 09.8
225	4190.38	 237	 21.8	  54.6	 4.9	20.06	R	 1.00	   8.3	  18.9	[OII]      	 0.1243	 0.00	                	10 00 18.94	+02 14 26.6
226	5628.37	 122	 20.8	  31.7	 4.1	20.06	R	 1.00	   8.7	   9.7	[OIII]5007 	 0.1241	 0.00	                	10 00 18.96	+02 14 25.9
227	5465.05	  78	  6.8	  11.8	 4.9	20.06	R	 1.00	   3.0	   3.5	H{beta}    	 0.1243	 0.00	                	10 00 18.97	+02 14 25.3
228	5500.26	 326	  6.6	  20.8	 3.8	20.95	R	 0.95	   9.4	  17.0	[OII]      	 0.4758	 0.05	                	10 00 19.31	+02 20 25.4
229	4910.43	 625	 14.2	  41.6	 5.4	23.37	R	 0.87	  50.7	  71.3	Ly{alpha}  	 3.0393	 1.00	                	10 00 19.39	+02 13 12.6
230	5317.30	 330	 11.8	  31.0	 5.6	22.04	R	 0.99	  36.9	  55.0	[OII]      	 0.4267	 0.01	                	10 00 20.43	+02 12 44.8
231	4524.17	 551	  7.0	  30.8	 6.3	26.02	R	 0.74	 400.3	1633.7	Ly{alpha}  	 2.7215	 1.00	                	10 00 20.80	+02 19 18.8
232	5147.66	 326	 23.4	  84.2	 6.1	20.46	R	 0.97	  22.8	  37.7	[OII]      	 0.3812	 0.03	                	10 00 21.04	+02 19 29.4
233	4888.43	 367	 32.1	  70.1	 5.5	19.66	R	 0.99	   8.6	  17.1	[OII]      	 0.3116	 0.01	                	10 00 21.36	+02 14 50.7
234	5465.91	  78	 14.1	  24.4	 4.5	23.37	R	 0.63	 136.8	 133.8	[OIII]5007 	 0.0917	 0.37	                	10 00 21.49	+02 13 51.5
235	4218.01	 453	 12.5	  35.5	 5.1	19.69	R	 0.97	   3.9	  45.6	[OII]      	 0.1317	 0.03	                	10 00 21.67	+02 12 23.6
236	5618.91	 386	  5.2	  11.0	 4.4	21.22	R	 0.95	   8.7	   9.3	[OIII]5007 	 0.1222	 0.00	                	10 00 21.92	+02 12 37.6
237	4185.31	 211	  6.2	  19.4	 6.1	21.21	R	 0.94	   8.5	  16.7	[OII]      	 0.1230	 0.06	                	10 00 21.94	+02 12 37.4
238	5072.40	 413	  7.6	  39.6	 7.8	19.70	R	 0.81	   5.2	  15.9	[OII]      	 0.3610	 0.10	                	10 00 22.95	+02 17 55.3
239	4419.67	 302	 52.5	 284.9	 5.5	18.17	R	 0.95	   8.0	  11.4	[OII]      	 0.1859	 0.05	J100022.9+021313	10 00 22.96	+02 13 14.0
240	5146.25	  83	 12.2	  29.7	 4.5	18.17	R	 0.98	   1.1	   1.3	H{gamma}   	 0.1855	 0.00	J100022.9+021313	10 00 22.99	+02 13 13.5
241	4584.53	1069	 13.4	  95.0	 5.4	18.17	R	 0.97	   2.9	   3.9	[NeIII]3869	 0.1849	 0.00	J100022.9+021313	10 00 23.00	+02 13 13.7
242	5764.11	 163	 47.9	 140.3	 4.4	18.17	R	 0.99	   6.7	   6.8	H{beta}    	 0.1858	 0.00	J100022.9+021313	10 00 23.00	+02 13 13.3
243	4921.57	 373	  8.8	  16.9	 4.9	21.98	R	 0.96	  17.6	  32.0	[OII]      	 0.3205	 0.04	                	10 00 23.05	+02 15 13.9
244	3768.03	 114	  5.1	  10.4	 3.5	26.02	R	 0.25	 111.3	 114.1	Ly{alpha}  	 2.0996	 1.00	                	10 00 23.66	+02 13 12.0
245	5712.13	 272	  9.4	  11.3	 3.8	22.36	R	 0.97	  19.4	  26.2	[OII]      	 0.5326	 0.03	                	10 00 23.86	+02 14 41.9
246	4850.29	  88	  6.4	   9.2	 4.4	22.22	R	 0.98	  11.9	  22.5	[OII]      	 0.3014	 0.02	                	10 00 23.93	+02 13 52.9
247	4418.51	 212	  9.0	  19.5	 4.9	20.91	R	 0.99	   6.8	  15.5	[OII]      	 0.1855	 0.01	                	10 00 24.37	+02 13 59.7
248	5113.54	 279	 23.0	  47.7	 6.2	21.04	R	 0.49	  21.7	  54.7	[OII]      	 0.3720	 0.32	                	10 00 26.26	+02 13 27.0
249	5194.68	 368	  5.6	   7.4	 5.4	26.24	R	 0.39	 134.9	 329.8	Ly{alpha}  	 3.2731	 0.96	                	10 00 26.74	+02 17 40.0
250	5115.86	 501	  5.1	   7.9	 3.7	23.05	R	 0.88	  23.0	  33.9	[OII]      	 0.3726	 0.12	                	10 00 26.91	+02 13 01.5
251	3993.64	 884	  5.4	  45.0	 5.2	24.81	R	 0.58	 169.0	 498.5	Ly{alpha}  	 2.2851	 1.00	                	10 00 27.28	+02 17 31.3
252	5366.96	 363	 21.8	 101.7	 6.7	19.39	R	 1.00	  10.6	  20.5	[OII]      	 0.4400	 0.00	                	10 00 27.48	+02 17 06.6
253	5085.05	 353	  6.8	  20.4	 5.6	24.33	R	 0.75	  62.3	  91.6	Ly{alpha}  	 3.1829	 1.00	                	10 00 27.48	+02 15 52.3
254	5324.76	 187	 12.7	  17.3	 3.8	21.85	R	 1.00	  17.3	  24.9	[OII]      	 0.4287	 0.00	                	10 00 27.99	+02 12 57.9
255	4605.60	 346	  7.3	  18.6	 6.6	21.71	R	 0.99	  14.2	  36.7	[OII]      	 0.2357	 0.01	                	10 00 28.21	+02 19 05.5
256	4243.48	 612	  9.0	  31.4	 5.4	25.26	R	 0.84	 188.3	 271.4	Ly{alpha}  	 2.4907	 1.00	                	10 00 28.25	+02 17 58.4
257	4781.50	 184	  5.9	   6.0	 2.6	21.84	R	 0.97	   5.4	  11.1	[OII]      	 0.2829	 0.02	                	10 00 28.38	+02 17 36.2
258	4631.84	 515	 12.3	  31.2	 5.8	23.86	R	 0.75	  56.6	 137.5	Ly{alpha}  	 2.8101	 1.00	                	10 00 28.50	+02 17 55.9
259	5699.80	  75	  5.2	   7.1	 1.5	22.16	R	 0.43	  10.1	  14.2	[OII]      	 0.5293	 0.01	                	10 00 28.52	+02 14 42.1
260	4123.08	 416	  6.0	  22.7	 5.8	21.45	R	 0.94	  12.2	  27.9	[OII]      	 0.1063	 0.06	                	10 00 28.57	+02 18 58.4
261	3763.70	 886	  9.8	 143.7	 8.3	23.76	R	 0.87	 193.4	 536.7	Ly{alpha}  	 2.0960	 1.00	J100028.6+021745	10 00 28.57	+02 17 48.4
262	5538.09	  95	  6.9	   7.0	 3.9	21.46	R	 0.98	   6.8	   7.6	[OIII]5007 	 0.1061	 0.02	                	10 00 28.60	+02 18 57.8
263	4172.49	 511	  6.1	  24.1	 5.8	24.17	R	 0.89	  52.4	  66.3	Ly{alpha}  	 2.4323	 1.00	                	10 00 29.06	+02 14 09.2
264	5062.51	 362	 11.8	  25.3	 5.8	20.09	R	 1.00	   4.8	  10.5	[OII]      	 0.3583	 0.00	                	10 00 29.20	+02 18 58.5
265	4656.10	 287	 16.5	  72.5	 5.2	19.40	R	 1.00	   6.7	  15.9	[OII]      	 0.2493	 0.00	                	10 00 29.21	+02 15 02.6
266	3886.57	 242	  9.6	  41.9	 5.8	     	R	 0.01	1441.3	1441.3	Ly{alpha}  	 2.1971	 1.00	                	10 00 29.73	+02 18 50.1
